adolescent	青少年的;未成熟的	⠁⠙⠕⠇⠑⠎⠉⠢⠞
mingle	使混合;使相混;交往	⠍⠬⠇⠑
mound	築牆防衛;堆起;	⠍⠨⠙
mount	登上;騎上;鑲嵌;發動(攻勢)	⠍⠨⠞
mourn	哀痛;哀悼	⠍⠳⠗⠝
mutter	咕噥;抱怨	⠍⠥⠞⠞⠻
nibble	一點點地咬(或吃)	⠝⠊⠆⠇⠑
nominate	提名;任命	⠝⠕⠍⠔⠁⠞⠑
orient	使...朝東;定方位;使熟悉情況	⠕⠗⠊⠢⠞
ornament	裝飾;美化	⠕⠗⠝⠁⠰⠞
outdo	勝過;超越	⠳⠞⠙⠕
output	生產;使出;輸出	⠳⠞⠏⠥⠞
overdo	把...做得過分;使過於疲勞	⠕⠧⠻⠙⠕
overeat	吃得過飽	⠕⠧⠻⠂⠞
overflow	滿(或多)得溢出	⠕⠧⠻⠋⠇⠪
overhear	無意中聽到;偷聽	⠕⠧⠻⠓⠑⠜
oversleep	睡過頭	⠕⠧⠻⠎⠇⠑⠑⠏
overwhelm	壓倒;征服;使受不了	⠕⠧⠻⠱⠑⠇⠍
overwork	使工作過度;使過勞;過度使用	⠕⠧⠻⠐⠺
patch	補綴;修補;拼湊	⠏⠁⠞⠡
penetrate	穿過;透過;識破;滲透入	⠏⠢⠑⠞⠗⠁⠞⠑
perceive	察覺;感知;意識到	⠏⠻⠉⠧
perch	(鳥)飛落;棲息;(在較高處)暫歇	⠏⠻⠡
peril	使有危險;危及	⠏⠻⠊⠇
perish	消滅;暴卒;枯萎	⠏⠻⠊⠩
persist	堅持;固執	⠏⠻⠎⠊⠌
pinch	擰;夾	⠏⠔⠡
pistol	用手槍射擊	⠏⠊⠌⠕⠇
plead	為(案件)辯護;懇求	⠏⠇⠂⠙
pledge	保證給予;許諾;發誓	⠏⠇⠫⠛⠑
plow	犁;耕;開(路);破(浪)前進	⠏⠇⠪
preach	佈道;說教	⠏⠗⠂⠡
profile	畫側面像;描出輪廓;寫傳略	⠏⠗⠷⠊⠇⠑
prolong	延長;拉長;拖延	⠏⠗⠕⠇⠰⠛
proportion	使成比例;使平衡;分攤	⠏⠗⠕⠏⠕⠗⠰⠝
purchase	買；購買	⠏⠥⠗⠡⠁⠎⠑
quiver	顫抖;抖動(翅膀等)	⠟⠥⠊⠧⠻
ranch	經營牧場(或農場)	⠗⠁⠝⠡
reap	收割;收穫	⠗⠂⠏
recommend	推薦；介紹	⠗⠑⠉⠕⠍⠍⠢⠙
referee	為...擔任裁判;仲裁	⠗⠑⠋⠻⠑⠑
rejoice	欣喜;慶祝	⠗⠚⠉
resent	憤慨;怨恨	⠗⠑⠎⠢⠞
restrain	抑制;約束	⠗⠑⠌⠗⠁⠔
rustle	(樹葉;紙等)沙沙作響;使沙沙作響	⠗⠥⠌⠇⠑
saint	使成為聖徒	⠎⠁⠔⠞
scar	結疤;留下傷痕	⠎⠉⠜
scent	嗅;聞	⠎⠉⠢⠞
scheme	策劃；密謀	⠎⠡⠑⠍⠑
segment	分割;切成片	⠎⠑⠛⠰⠞
sharpen	削尖；磨快	⠩⠜⠏⠢
shatter	粉碎;砸碎	⠩⠁⠞⠞⠻
shield	保護;庇護;掩蓋	⠩⠊⠑⠇⠙
shiver	發抖;打顫	⠩⠊⠧⠻
shove	推;撞;亂塞	⠩⠕⠧⠑
shred	切成條狀;用碎紙機撕毀(文件)	⠩⠗⠫
shriek	尖叫;發出尖聲	⠩⠗⠊⠑⠅
shudder	發抖;戰慄	⠩⠥⠙⠙⠻
shutter	為...裝遮板(或快門等);關(店)	⠩⠥⠞⠞⠻
simmer	煨;燉;(危機等)即將爆發	⠎⠊⠍⠍⠻
slaughter	屠宰;屠殺	⠎⠇⠁⠥⠣⠞⠻
smash	粉碎;瓦解;殺球	⠎⠍⠁⠩
snarl	吠;咆哮;纏結	⠎⠝⠜⠇
snatch	奪走;抓住	⠎⠝⠁⠞⠡
sneak	偷偷地走；溜	⠎⠝⠂⠅
soften	使變柔軟;使變和藹	⠎⠷⠞⠢
sow	播(種)	⠎⠪
sponge	(用海綿)揩拭;海綿般地吸收	⠎⠏⠰⠛⠑
spotlight	聚光照明;使公眾注意	⠎⠏⠕⠞⠇⠊⠣⠞
sprint	奮力而跑;衝刺	⠎⠏⠗⠔⠞
squash	把...壓扁(壓碎);鎮壓	⠎⠟⠥⠁⠩
stack	把...疊成堆;堆放	⠌⠁⠉⠅
stagger	搖搖晃晃;蹣跚而行	⠌⠁⠶⠻
stain	沾污;染污;染色	⠌⠁⠔
stake	把...押下打賭；拿...冒險	⠌⠁⠅⠑
stall	把...關入畜舍;使拋錨;支吾;拖延	⠌⠁⠇⠇
startle	使驚嚇;使驚奇	⠌⠜⠞⠇⠑
steer	掌(船)舵；駕駛	⠌⠑⠻
stereotype	使成為陳規;把...澆鑄成鉛板	⠌⠻⠑⠕⠞⠽⠏⠑
stew	(用文火)燉;使極度不安;悶熱冒汗	⠌⠑⠺
stink	發惡臭;名聲臭	⠌⠔⠅
stoop	屈身;彎腰駝背;屈尊	⠌⠕⠕⠏
straighten	把...弄直;澄清	⠌⠗⠁⠊⠣⠞⠢
strain	拉緊;伸張;竭力;扭傷;過濾	⠌⠗⠁⠔
strand	使擱淺;處於困境	⠌⠗⠯
strap	用帶捆綁(或束住)	⠌⠗⠁⠏
streak	形成條紋;疾駛;閃現	⠌⠗⠂⠅
stride	邁大步走;跨越	⠌⠗⠊⠙⠑
stroll	散步;溜達	⠌⠗⠕⠇⠇
stumble	絆腳;絆倒;踉蹌	⠌⠥⠍⠃⠇⠑
stump	砍去...的幹;作巡迴政治演說	⠌⠥⠍⠏
