abnormal	不正常的	⠁⠃⠝⠕⠗⠍⠁⠇
quarrelsome	喜歡爭吵的	⠟⠥⠜⠗⠑⠇⠐⠎
radiant	光芒四射的;容光煥發的;發熱的	⠗⠁⠙⠊⠁⠝⠞
radiate	具輻射部的;輻射狀的	⠗⠁⠙⠊⠁⠞⠑
radical	基本的;徹底的	⠗⠁⠙⠊⠉⠁⠇
random	胡亂的;隨機的	⠗⠯⠕⠍
rash	輕率的;急躁的	⠗⠁⠩
rational	理性的;明事理的;合理的	⠗⠁⠰⠝⠁⠇
recipient	接受的;受領的	⠗⠑⠉⠊⠏⠊⠢⠞
recreational	消遣的;娛樂的;休養的	⠗⠑⠉⠗⠂⠰⠝⠁⠇
redundant	多餘的;過剩的	⠗⠫⠥⠝⠙⠁⠝⠞
reflective	反射的;沈思的;反映的	⠗⠑⠋⠇⠑⠉⠞⠊⠧⠑
regardless	不注意的；不留心的;不關心的	⠗⠑⠛⠜⠙⠨⠎
relevant	有關的;切題的	⠗⠑⠇⠑⠧⠁⠝⠞
renowned	有名的;有聲譽的	⠗⠢⠪⠝⠫
residential	居住的;住宅的	⠗⠑⠎⠊⠙⠢⠞⠊⠁⠇
resistant	抵抗的	⠗⠑⠎⠊⠌⠁⠝⠞
resolute	堅決的;不屈不撓的	⠗⠑⠎⠕⠇⠥⠞⠑
respective	分別的;各自的	⠗⠑⠎⠏⠑⠉⠞⠊⠧⠑
retail	零售的	⠗⠑⠞⠁⠊⠇
rhythmic	有節奏的;有韻律的	⠗⠓⠽⠹⠍⠊⠉
rigorous	嚴格的;嚴厲的;嚴密的	⠗⠊⠛⠕⠗⠳⠎
ritual	(宗教)儀式的;典禮的	⠗⠊⠞⠥⠁⠇
ruby	紅寶石色的	⠗⠥⠃⠽
sane	神志正常的;頭腦清楚的	⠎⠁⠝⠑
scenic	風景的;景色秀麗的	⠎⠉⠢⠊⠉
selective	有選擇性的	⠎⠑⠇⠑⠉⠞⠊⠧⠑
sentimental	情深的;情感;多愁善感的	⠎⠢⠞⠊⠰⠞⠁⠇
serene	安詳的;寧靜的	⠎⠻⠢⠑
sheer	全然的;(紡織物)極薄的;陡峭的	⠩⠑⠻
shrewd	精明的;狡猾的;機靈的	⠩⠗⠑⠺⠙
simultaneous	同時發生的;同步的	⠎⠊⠍⠥⠇⠞⠁⠝⠑⠳⠎
skeptical	懷疑的;多疑的	⠎⠅⠑⠏⠞⠊⠉⠁⠇
sneaky	鬼鬼祟祟的	⠎⠝⠂⠅⠽
sociable	好交際的;善交際的	⠎⠕⠉⠊⠁⠃⠇⠑
sophisticated	老於世故的;精通的;精密的	⠎⠕⠏⠓⠊⠌⠊⠉⠁⠞⠫
spacious	寬敞的;廣闊的	⠎⠏⠁⠉⠊⠳⠎
spectacular	壯觀的;壯麗的	⠎⠏⠑⠉⠞⠁⠉⠥⠇⠜
spiral	螺旋(形)的;盤旋的	⠎⠏⠊⠗⠁⠇
spontaneous	自發的;自然的	⠎⠏⠕⠝⠞⠁⠝⠑⠳⠎
stationary	不動的;定居的	⠌⠁⠰⠝⠜⠽
strategic	戰略的	⠌⠗⠁⠞⠑⠛⠊⠉
subjective	主觀的;個人的;主詞的	⠎⠥⠃⠚⠑⠉⠞⠊⠧⠑
subordinate	下級的;次要的;從屬的	⠎⠥⠃⠕⠗⠙⠔⠁⠞⠑
