adult	成年人	⠁⠙⠥⠇⠞
hobby	愛好	⠓⠕⠆⠽
band	樂隊	⠃⠯
card	卡片；紙牌	⠉⠜⠙
cartoon	卡通	⠉⠜⠞⠕⠕⠝
chess	國際象棋	⠡⠑⠎⠎
comic	漫畫	⠉⠕⠍⠊⠉
computer game	電腦遊戲	⠉⠕⠍⠏⠥⠞⠻⠀⠛⠁⠍⠑
doll	洋娃娃	⠙⠕⠇⠇
drama	戲劇	⠙⠗⠁⠍⠁
drum	鼓	⠙⠗⠥⠍
film	電影	⠋⠊⠇⠍
flute	長笛	⠋⠇⠥⠞⠑
game	遊戲	⠛⠁⠍⠑
guitar	吉他	⠛⠥⠊⠞⠜
instrument	樂器	⠔⠌⠗⠥⠰⠞
jazz	爵士樂	⠚⠁⠵⠵
kite	風箏	⠅⠊⠞⠑
movie	電影	⠍⠕⠧⠊⠑
music	音樂	⠍⠥⠎⠊⠉
novel	小說	⠝⠕⠧⠑⠇
paint	畫畫；顏料	⠏⠁⠔⠞
piano	鋼琴	⠏⠊⠁⠝⠕
pop music	流行音樂	⠏⠕⠏⠀⠍⠥⠎⠊⠉
puzzle	拼圖；謎題	⠏⠥⠵⠵⠇⠑
song	歌曲	⠎⠰⠛
team	團隊	⠞⠂⠍
tent	帳篷	⠞⠢⠞
toy	玩具	⠞⠕⠽
trumpet	小號	⠞⠗⠥⠍⠏⠑⠞
violin	小提琴	⠧⠊⠕⠇⠔
lose	輸；失去	⠇⠕⠎⠑
play	玩；演奏	⠏⠇⠁⠽
loser	失敗者	⠇⠕⠎⠻
win	贏	⠺⠔
winner	獲勝者	⠺⠔⠝⠻
fan	粉絲；迷	⠋⠁⠝
apartment	公寓	⠁⠐⠏⠰⠞
building	建築物	⠃⠥⠊⠇⠙⠬
house	房子	⠓⠳⠎⠑
home	家	⠓⠕⠍⠑
basement	地下室	⠃⠁⠎⠑⠰⠞
bathroom	浴室	⠃⠁⠹⠗⠕⠕⠍
bedroom	臥室	⠃⠫⠗⠕⠕⠍
dining room	餐廳	⠙⠔⠬⠀⠗⠕⠕⠍
fence	柵欄	⠋⠰⠑
garage	車庫	⠛⠜⠁⠛⠑
garden	花園	⠛⠜⠙⠢
hall	大廳；走廊	⠓⠁⠇⠇
kitchen	廚房	⠅⠊⠞⠡⠢
living room	客廳	⠇⠊⠧⠬⠀⠗⠕⠕⠍
room	房間	⠗⠕⠕⠍
yard	院子	⠽⠜⠙
balcony	陽台	⠃⠁⠇⠉⠕⠝⠽
ceiling	天花板	⠉⠑⠊⠇⠬
door	門	⠙⠕⠕⠗
downstairs	樓下	⠙⠪⠝⠌⠁⠊⠗⠎
floor	地板；樓層	⠋⠇⠕⠕⠗
gate	大門	⠛⠁⠞⠑
roof	屋頂	⠗⠕⠷
